brand name,dosage form,generic,strength,manufacturer
Roxcin,Tablet,Roxithromycin,300 mg,Alco Pharma Ltd.
Roxilab Plus,Tablet,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,Labaid Pharma Ltd.
Roxilab,IM/IV Injection,Cefuroxime Axetil,750 mg/vial,Labaid Pharma Ltd.
Roxilab,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Labaid Pharma Ltd.
Roxcin,Tablet,Roxithromycin,150 mg,Alco Pharma Ltd.
Roxarel,Tablet,Rivaroxaban,15 mg,Incepta Pharmaceuticals Ltd.
Roxarel,Tablet,Rivaroxaban,10 mg,Incepta Pharmaceuticals Ltd.
Roxal,Pediatric Drops,Ambroxol Hydrochloride,6 mg/ml,Edruc Limited
Roxal,Syrup,Ambroxol Hydrochloride,15 mg/5 ml,Edruc Limited
Roxair,Tablet,Roflumilast,500 mcg,Incepta Pharmaceuticals Ltd.
Roxadex,IM/IV Injection,Dexamethasone,6 mg/ml,Nuvista Pharma Ltd.
Roxadex,Tablet,Dexamethasone,6 mg,Nuvista Pharma Ltd.
Roxadex,IM/IV Injection,Dexamethasone,5 mg/ml,Nuvista Pharma Ltd.
Rovex,Tablet,Rosuvastatin,10 mg,Orion Pharma Ltd.
Rovex,Tablet,Rosuvastatin,5 mg,Orion Pharma Ltd.
Rozavel,Tablet,Rosuvastatin,5 mg,Sun Pharmaceutical Ltd.
Rozavel,Tablet,Rosuvastatin,10 mg,Sun Pharmaceutical Ltd.
Rozavas,Tablet,Rosuvastatin,5 mg,Innovative Pharma (Albion)
Rozavas,Tablet,Rosuvastatin,10 mg,Innovative Pharma (Albion)
Roxyzin,Syrup,Hydroxyzine  Hydrochloride,10 mg/5 ml,Incepta Pharmaceuticals Ltd.
Roxyzin,Tablet,Hydroxyzine  Hydrochloride,25 mg,Incepta Pharmaceuticals Ltd.
Roxyzin,Tablet,Hydroxyzine  Hydrochloride,10 mg,Incepta Pharmaceuticals Ltd.
Roxtal XP,Tablet,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,Everest Pharmaceuticals Ltd.
Roxtal XP,Tablet,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,Everest Pharmaceuticals Ltd.
Roxolyte,Tablet,Rivaroxaban,10 mg,Renata Limited
Roxiquin,Tablet,Hydroxychloroquine Sulphate,200 mg,Opsonin Pharma Ltd.
Roximax,Tablet,Cefuroxime Axetil,500 mg,Veritas Pharmaceuticals Ltd.
Roximax,Tablet,Cefuroxime Axetil,250 mg,Veritas Pharmaceuticals Ltd.
Roxim XL,Powder for Suspension,Cefixime Trihydrate,200 mg/5 ml,Eskayef Pharmaceuticals Ltd.
Roxim,Tablet,Cefixime Trihydrate,400 mg,Eskayef Pharmaceuticals Ltd.
Roxim,Tablet,Cefixime Trihydrate,200 mg,Eskayef Pharmaceuticals Ltd.
Rozy,Tablet,Ethinyl Estradiol + Drospirenone (HRT),0.5 mg+0.25 mg,Square Pharmaceuticals Ltd.
Rozith,IV Infusion,Azithromycin Dihydrate,500 mg/vial,Healthcare Pharmaceuticals Ltd.
Rozith,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Healthcare Pharmaceuticals Ltd.
Rozith,Tablet,Azithromycin Dihydrate,500 mg,Healthcare Pharmaceuticals Ltd.
Rozith,Tablet,Azithromycin Dihydrate,250 mg,Healthcare Pharmaceuticals Ltd.
Rozenon,Tablet,Rosuvastatin,5 mg,Synovia pharma plc
Rozenon,Tablet,Rosuvastatin,10 mg,Synovia pharma plc
Rozavel,Tablet,Rosuvastatin,20 mg,Sun Pharmaceutical Ltd.
Roxim,Pediatric Drops,Cefixime Trihydrate,25 mg/ml,Eskayef Pharmaceuticals Ltd.
Roxim,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Eskayef Pharmaceuticals Ltd.
Roxim,Capsule,Cefixime Trihydrate,400 mg,Eskayef Pharmaceuticals Ltd.
Roxim,Capsule,Cefixime Trihydrate,200 mg,Eskayef Pharmaceuticals Ltd.
Roxilab Plus,Powder for Suspension,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,Labaid Pharma Ltd.
Roxilab Plus,Tablet,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,Labaid Pharma Ltd.
Rupadin,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Beacon Pharmaceuticals Ltd.
Rupadin,Tablet,Rupatadine Fumarate,10 mg,Beacon Pharmaceuticals Ltd.
Rupaday,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Eskayef Pharmaceuticals Ltd.
Rupaday,Tablet,Rupatadine Fumarate,10 mg,Eskayef Pharmaceuticals Ltd.
Rupa-Aid,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Labaid Pharma Ltd.
Rupa-Aid,Tablet,Rupatadine Fumarate,10 mg,Labaid Pharma Ltd.
Rupa,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Aristopharma Ltd.
Rupa,Tablet,Rupatadine Fumarate,10 mg,Aristopharma Ltd.
Runeed,Capsule,Iron + Folic acid + Vitamin B complex + Vitamin C,,Supreme Pharmaceutical Ltd.
Runar,Tablet,Rupatadine Fumarate,10 mg,Pharmasia Limited
Rulicent,Tablet,Ruxolitinib,10 mg,Incepta Pharmaceuticals Ltd.
Rulicent,Tablet,Ruxolitinib,5 mg,Incepta Pharmaceuticals Ltd.
Rufecta,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Biopharma Laboratories Ltd.
Rufecta,Tablet,Rupatadine Fumarate,10 mg,Biopharma Laboratories Ltd.
Rufast,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Opsonin Pharma Ltd.
Rufast,Tablet,Rupatadine Fumarate,10 mg,Opsonin Pharma Ltd.
Ruclon,Tablet,Aceclofenac,100 mg,Novus Pharmaceuticals Ltd.
Rubitor,IV Infusion,Epirubicin Hydrochloride,2 mg/ml,Eskayef Pharmaceuticals Ltd.
Rubicin,IV Infusion,Daunorubicin,20 mg/4 ml,Beacon Pharmaceuticals Ltd.
Rubest,Tablet,Rupatadine Fumarate,10 mg,Benham Pharmaceuticals Ltd.
Rubee,Tablet (Enteric Coated),Rabeprazole Sodium,20 mg,Kumudini Pharma Ltd.
Rubavax-M,IM/SC Injection,Measles and Rubella,0.5 ml,Incepta Pharmaceuticals Ltd.
Rubalon,Ophthalmic Suspension,Fluorometholone Acetate,0.10%,Beximco Pharmaceuticals Ltd.
RTV,Tablet,Rosuvastatin,20 mg,Delta Pharma Ltd.
RTV,Tablet,Rosuvastatin,10 mg,Delta Pharma Ltd.
RTV,Tablet,Rosuvastatin,5 mg,Delta Pharma Ltd.
Rtnor,Tablet,Gemifloxacin,320 mg,Novelta Bestway Pharma Ltd.
RT 150,Tablet,Ranitidine Hydrochloride,150 mg,Silva Pharmaceuticals Ltd.
RP 20,Tablet (Enteric Coated),Rabeprazole Sodium,20 mg,Globe Pharmaceuticals Ltd.
Rozy DS,Tablet,Ethinyl Estradiol + Drospirenone (HRT),1 mg+0.5 mg,Square Pharmaceuticals Ltd.
Rutinib,Tablet,Ruxolitinib,5 mg,Drug International Ltd.
Rutinib,Tablet,Ruxolitinib,10 mg,Drug International Ltd.
Rupsol,Oral Paste,Amlexanox,5%,Drug International Ltd.
Rupoma,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,General Pharmaceuticals Ltd.
Rupoma,Tablet,Rupatadine Fumarate,10 mg,General Pharmaceuticals Ltd.
Rupita,Tablet,Rupatadine Fumarate,10 mg,Euro Pharma Ltd.
Rupin,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Ziska Pharmaceuticals Ltd.
Rupin,Tablet,Rupatadine Fumarate,10 mg,Ziska Pharmaceuticals Ltd.
Rupex,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Incepta Pharmaceuticals Ltd.
Rupex,Tablet,Rupatadine Fumarate,10 mg,Incepta Pharmaceuticals Ltd.
Rupenta,Tablet,Rupatadine Fumarate,10 mg,Orion Pharma Ltd.
Rupaver,Tablet,Rupatadine Fumarate,10 mg,Veritas Pharmaceuticals Ltd.
Rupatrol,Tablet,Rupatadine Fumarate,10 mg,Square Pharmaceuticals Ltd.
Rupatid,Tablet,Rupatadine Fumarate,10 mg,NIPRO JMI Pharma Ltd.
Rupatan,Tablet,Rupatadine Fumarate,10 mg,Novo Healthcare and Pharma Ltd.
Rupastin,Tablet,Rupatadine Fumarate,10 mg,ACME Laboratories Ltd.
Ruvastin,Tablet,Rosuvastatin,10 mg,Aristopharma Ltd.
Ruvastin,Tablet,Rosuvastatin,5 mg,Aristopharma Ltd.
Rutix,Tablet,Ofloxacin (Oral & Injection),400 mg,Square Pharmaceuticals Ltd.
Rutix,Tablet,Ofloxacin (Oral & Injection),200 mg,Square Pharmaceuticals Ltd.
Rupastar,Tablet,Rupatadine Fumarate,10 mg,Leon Pharmaceuticals Ltd.
Rupanil,Tablet,Rupatadine Fumarate,10 mg,Rangs Pharmaceuticals Ltd.
Rupanex,Tablet,Rupatadine Fumarate,10 mg,Sharif Pharmaceuticals Ltd.
Rupana,Tablet,Rupatadine Fumarate,10 mg,Globe Pharmaceuticals Ltd.
Rupana,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Globe Pharmaceuticals Ltd.
Rupamine,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Ibn Sina Pharmaceuticals Ltd.
Rupamine,Tablet,Rupatadine Fumarate,10 mg,Ibn Sina Pharmaceuticals Ltd.
Rupaler,Tablet,Rupatadine Fumarate,10 mg,Alco Pharma Ltd.
Rupahist,Tablet,Rupatadine Fumarate,10 mg,UniMed UniHealth
Rupafen,Tablet,Rupatadine Fumarate,10 mg,Somatec Pharmaceuticals Ltd.
S-Kinase,Powder for Injection,Streptokinase,1.5 million unit,Popular Pharmaceuticals Ltd.
S-Fluclox,Capsule,Flucloxacillin Sodium,500 mg,Seema Pharmaceuticals Ltd.
S-Fluclox,Capsule,Flucloxacillin Sodium,250 mg,Seema Pharmaceuticals Ltd.
S-Fenac TR,Capsule (Timed Release),Diclofenac Sodium,50 mg,Seema Pharmaceuticals Ltd.
S-Fenac TR,Capsule (Timed Release),Diclofenac Sodium,100 mg,Seema Pharmaceuticals Ltd.
S-Citapram,Tablet,Escitalopram Oxalate,10 mg,General Pharmaceuticals Ltd.
S-Citapram,Tablet,Escitalopram Oxalate,5 mg,General Pharmaceuticals Ltd.
S-32 Gold,Tablet,Multivitamin & Multimineral [A-Z gold preparation],,Sharif Pharmaceuticals Ltd.
Ryzodeg,SC Injection,Insulin Degludec + Insulin Aspart Premixed,100 IU/ml,Novo Nordisk Pharma (Pvt.) Ltd
Ryzodeg,SC Injection,Insulin Degludec + Insulin Aspart Premixed,100 IU/ml,Novo Nordisk Pharma (Pvt.) Ltd
Rythmosin,Tablet,Propafenone Hydrochloride,150 mg,UniMed UniHealth
Ryth,Powder for Suspension,Roxithromycin,50 mg/5 ml,Navana Pharmaceuticals Ltd.
Ryth,Tablet,Roxithromycin,300 mg,Navana Pharmaceuticals Ltd.
Ryth,Tablet,Roxithromycin,150 mg,Navana Pharmaceuticals Ltd.
Rynofex,Tablet,Fexofenadine Hydrochloride,180 mg,Al-Madina Pharmaceuticals Ltd.
Rynofex,Tablet,Fexofenadine Hydrochloride,120 mg,Al-Madina Pharmaceuticals Ltd.
S-Vom,Tablet,Meclizine + Pyridoxine,25 mg+50 mg,Sharif Pharmaceuticals Ltd.
S-Silver Sulfadiazine,Cream,Silver Sulfadiazine,1%,Gonoshasthaya Pharma Ltd.
S-Pirin,Tablet (Enteric Coated),Aspirin,100 mg,Navana Pharmaceuticals Ltd.
S-Ome,Capsule (Delayed Release),Esomeprazole,20 mg,Somatec Pharmaceuticals Ltd.
S-Ome,Tablet (Enteric Coated),Omeprazole,40 mg,Somatec Pharmaceuticals Ltd.
S-Ome,Tablet (Enteric Coated),Omeprazole,20 mg,Somatec Pharmaceuticals Ltd.
S-Kit,Syrup,Ketotifen Fumarate (Oral),1 mg/5 ml,Sharif Pharmaceuticals Ltd.
S-Kit,Tablet,Ketotifen Fumarate (Oral),1 mg,Sharif Pharmaceuticals Ltd.
Rynex,Nasal Spray,Oxymetazoline Hydrochloride (Nasal Preparation),0.05%,Incepta Pharmaceuticals Ltd.
Rynex,Nasal Drop,Oxymetazoline Hydrochloride (Nasal Preparation),0.03%,Incepta Pharmaceuticals Ltd.
Rynex,Nasal Drop,Oxymetazoline Hydrochloride (Nasal Preparation),0.05%,Incepta Pharmaceuticals Ltd.
Rymin,Syrup,Diphenhydramine Hydrochloride,10 mg/5 ml,Opsonin Pharma Ltd.
Ruzmet,Tablet,Metformin Hydrochloride,500 mg,Amico Laboratories Ltd.
Ruvastin,Tablet,Rosuvastatin,20 mg,Aristopharma Ltd.
Salbumol,Syrup,Salbutamol,2 mg/5 ml,Indo Bangla Pharmaceutical
Salbu,Syrup,Salbutamol,2 mg/5 ml,Biopharma Laboratories Ltd.
Salbu,Tablet,Salbutamol,4 mg,Biopharma Laboratories Ltd.
Salbu,Tablet,Salbutamol,2 mg,Biopharma Laboratories Ltd.
Salazine,Suppository,Sulfasalazine,500 mg,Opsonin Pharma Ltd.
Salazine,Tablet,Sulfasalazine,500 mg,Opsonin Pharma Ltd.
Sakti-TR,Capsule (Timed Release),Ferrous Sulfate + Folic Acid + Zinc Sulfate,150 mg+0.5 mg+61.8 mg,Marker Pharma Ltd.
Saglit,Tablet,Pioglitazone,15 mg,Synovia pharma plc
Sagdon,Tablet,Domperidone Maleate,10 mg,Nuvista Pharma Ltd.
Saga,Tablet,Sparfloxacin,200 mg,Square Pharmaceuticals Ltd.
Safwash,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Medimet Pharmaceuticals Ltd.
Safoxol,Capsule (Sustained Release),Ambroxol Hydrochloride,75 mg,Beacon Pharmaceuticals Ltd.
Safoxol,Syrup,Ambroxol Hydrochloride,15 mg/5 ml,Beacon Pharmaceuticals Ltd.
Safetisol,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Silva Pharmaceuticals Ltd.
Safenac TR,Capsule (Timed Release),Diclofenac Sodium,100 mg,Marker Pharma Ltd.
Safe,Tablet,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,Nipa Pharmaceuticals Ltd.
Salbut,Syrup,Salbutamol,2 mg/5 ml,General Pharmaceuticals Ltd.
Salbusol,Tablet,Salbutamol,2 mg,Silco Pharmaceutical Ltd.
Salbusol,Syrup,Salbutamol,2 mg/5 ml,Silco Pharmaceutical Ltd.
Safamin,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Benham Pharmaceuticals Ltd.
Sadin,Tablet,Ranitidine Hydrochloride,150 mg,Marker Pharma Ltd.
Sacona,Capsule,Fluconazole,150 mg,Marker Pharma Ltd.
Sacona,Capsule,Fluconazole,50 mg,Marker Pharma Ltd.
Sac Sweet,Tablet,Saccharin Sodium,12.5 mg,Sonear Laboratories Ltd.
Sabutanol,Tablet,Salbutamol,4 mg,Bristol Pharmaceuticals Ltd.
Sabutanol,Tablet,Salbutamol,2 mg,Bristol Pharmaceuticals Ltd.
Sabus,Syrup,Salbutamol,2 mg/5 ml,Orbit Pharmaceuticals Ltd.
Sabitar,Tablet,Sacubitril + Valsartan,49 mg+51 mg,Incepta Pharmaceuticals Ltd.
Sabitar,Tablet,Sacubitril + Valsartan,24 mg+26 mg,Incepta Pharmaceuticals Ltd.
Sabitar,Tablet,Sacubitril + Valsartan,97 mg+103 mg,Incepta Pharmaceuticals Ltd.
Salmolin,Inhalation Capsule,Salbutamol,200 mcg,ACME Laboratories Ltd.
Salmolin,Syrup,Salbutamol,2 mg/5 ml,ACME Laboratories Ltd.
Salmol,Syrup,Salbutamol,2 mg/5 ml,Medimet Pharmaceuticals Ltd.
Salmol,Tablet,Salbutamol,4 mg,Medimet Pharmaceuticals Ltd.
Salix,Syrup,Salbutamol,2 mg/5 ml,Modern Pharmaceuticals Ltd.
Salix,Tablet,Salbutamol,4 mg,Modern Pharmaceuticals Ltd.
Salitic,Topical Solution,Salicylic Acid + Lactic Acid,16.7%+16.7%,Ziska Pharmaceuticals Ltd.
Salison,Scalp Ointment,Betamethasone Dipropionate + Salicylic Acid,0.05%+3%,Globe Pharmaceuticals Ltd.
Salinix,Cream,Methyl Salicylate + Menthol,30%+8%,Incepta Pharmaceuticals Ltd.
Salinix,Cream,Methyl Salicylate + Menthol,15%+10%,Incepta Pharmaceuticals Ltd.
Saline-R,Oral Powder,Oral Rehydration Salt [Flavored],,Renata Limited
Salidex,Cream,Salicylic Acid,6%,Eskayef Pharmaceuticals Ltd.
Salicid,Cream,Salicylic Acid,12%,Square Pharmaceuticals Ltd.
Saliben,Ointment,Benzoic Acid + Salicylic Acid,6%+3%,Amico Laboratories Ltd.
Salflu,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+250 mcg)/puff,ACME Laboratories Ltd.
Salflu,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+125 mcg)/puff,ACME Laboratories Ltd.
Salmolin,Inhaler,Salbutamol (Inhaler),100 mcg/puff,ACME Laboratories Ltd.
Salmolin,Respirator Solution,Salbutamol,5 mg/ml,ACME Laboratories Ltd.
Salmolin,Inhaler,Salbutamol (Inhaler),100 mcg/puff,ACME Laboratories Ltd.
Salflu,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+500 mcg,ACME Laboratories Ltd.
Salflu,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+250 mcg,ACME Laboratories Ltd.
Salflu,Inhalation Capsule,Salmeterol + Fluticasone Propionate,50 mcg+100 mcg,ACME Laboratories Ltd.
Salferon,Syrup,Ferrous Sulfate,200 mg/5 ml,Salton Pharmaceuticals Ltd.
Salclox,Powder for Suspension,Cloxacillin Sodium,125 mg/5 ml,Salton Pharmaceuticals Ltd.
Salbutex,Tablet,Salbutamol,4 mg,Premier Pharmaceuticals Ltd.
Salbutex,Tablet,Salbutamol,2 mg,Premier Pharmaceuticals Ltd.
Salbutamol,Syrup,Salbutamol,2 mg/5 ml,Amico Laboratories Ltd.
Salbutal,Syrup,Salbutamol,2 mg/5 ml,Synovia pharma plc
Salbutal,Tablet,Salbutamol,4 mg,Synovia pharma plc
Salbutal,Tablet,Salbutamol,2 mg,Synovia pharma plc
Saltrim,Oral Suspension,Sulphamethoxazole + Trimethoprim,(200 mg+40 mg)/5 ml,Salton Pharmaceuticals Ltd.
Saltonate,Tablet,Calcium Carbonate,500 mg,Salton Pharmaceuticals Ltd.
Saltide,Respirator Solution,Salbutamol,2.5 mg/3 ml,UniMed UniHealth
Saltide,Inhaler,Salbutamol (Inhaler),100 mcg/puff,UniMed UniHealth
Saltamol,Syrup,Salbutamol,2 mg/5 ml,Leon Pharmaceuticals Ltd.
Saltamin,Tablet,Chlorpheniramine Maleate,4 mg,Salton Pharmaceuticals Ltd.
Saltamin,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Salton Pharmaceuticals Ltd.
Salpium,Nebuliser Solution,Salbutamol + Ipratropium (Solution for inhalation),(2.5 mg+500 mcg)/3 ml,ACME Laboratories Ltd.
Salpium,Inhaler,Salbutamol + Ipratropium (Inhaler),(100 mcg+20 mcg)/puff,ACME Laboratories Ltd.
Salpac,IV Infusion,Sodium Chloride (Intravenous Solution),0.90%,Orion Infusion Ltd.
Salost,Tablet,Risedronate Sodium,150 mg,UniMed UniHealth
Salost,Tablet (Delayed Release),Risedronate Sodium,35  mg,UniMed UniHealth
Salost,Tablet,Risedronate Sodium,5 mg,UniMed UniHealth
Saloride,IV Infusion,Sodium Chloride (Intravenous Solution),0.90%,Beximco Pharmaceuticals Ltd.
Salora,Tablet,Loratadine,10 mg,Marker Pharma Ltd.
Saloprim,Tablet,Sulphadoxine + Pyrimethamine,500 mg+25 mg,Opsonin Pharma Ltd.
Sandimmum Neoral,Capsule,Cyclosporine,100 mg,Novartis (Bangladesh) Ltd.
Sandimmum Neoral,Capsule,Cyclosporine,50 mg,Novartis (Bangladesh) Ltd.
Sandimmum Neoral,Capsule,Cyclosporine,25 mg,Novartis (Bangladesh) Ltd.
Sancal-D,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,Prime Pharmaceuticals Ltd.
Sancal,Tablet,Calcium Carbonate,500 mg,Prime Pharmaceuticals Ltd.
Samprid,Tablet,Gliclazide,80 mg,Silco Pharmaceutical Ltd.
Saltrim DS,Tablet,Sulphamethoxazole + Trimethoprim,800 mg+160 mg,Salton Pharmaceuticals Ltd.
Saltrim,Tablet,Sulphamethoxazole + Trimethoprim,400 mg+80 mg,Salton Pharmaceuticals Ltd.
Salomax,Inhalation Capsule,Salbutamol,200 mcg,Eskayef Pharmaceuticals Ltd.
Salomax,Tablet,Salbutamol,4 mg,Eskayef Pharmaceuticals Ltd.
Salomax,Inhaler,Salbutamol (Inhaler),100 mcg/puff,Eskayef Pharmaceuticals Ltd.
Salol,Syrup,Salbutamol,2 mg/5 ml,Cosmic Pharma Ltd.
Salocin,Tablet,Sparfloxacin,200 mg,Kemiko Pharmaceuticals Ltd.
Salmolin-L,Syrup,Levosalbutamol (Oral),1 mg/5 ml,ACME Laboratories Ltd.
Sapen,Tablet,Hyoscine Butylbromide,10 mg,Marker Pharma Ltd.
Sapclo,Tablet,Aceclofenac,100 mg,Marker Pharma Ltd.
Santox,Tablet,Super antioxidant [vitamins & minerals],,Healthcare Pharmaceuticals Ltd.
Santogen,Tablet,Multivitamin & Multimineral [A-Z gold preparation],,Healthcare Pharmaceuticals Ltd.
Santinal MR,Capsule (Modified Release),Dipyridamole,200 mg,UniMed UniHealth
Sante,Effervescent Tablet,Calcium Lactate Gluconate + Calcium Carbonate + Vitamin C,1000 mg+327 mg+500 mg,Healthcare Pharmaceuticals Ltd.
Sanoket,IM/IV Injection,Ketorolac Tromethamine,60 mg/2 ml,Synovia pharma plc
Sanoket,IM/IV Injection,Ketorolac Tromethamine,30 mg/ml,Synovia pharma plc
Sanoket,Tablet,Ketorolac Tromethamine,10 mg,Synovia pharma plc
Sanityza Clear,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Incepta Pharmaceuticals Ltd.
Sanityza,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Incepta Pharmaceuticals Ltd.
Sangril,Tablet,Micronised Diosmin + Hesperidin,450 mg+50 mg,Healthcare Pharmaceuticals Ltd.
Sanflore,Topical Gel,Tea Tree Oil + Geothermal Water + Vitamin E,,Opsonin Pharma Ltd.
Sanflore,Topical Spray,Aluminium Chloride + Melaleuca Alternifolia Oil + Geothermal water,20%+5%,Opsonin Pharma Ltd.
Sanflore,Shampoo,Tea tree oil + Geothermal water (hair & body),20 gm/ml,"JEO MED, Turkey"
Sanfix DS,Powder for Suspension,Cefixime Trihydrate,200 mg/5 ml,Nuvista Pharma Ltd.
Sapox,Pediatric Drops,Amoxicillin Trihydrate,125 mg/1.25 ml,Alco Pharma Ltd.
Sapox,Powder for Suspension,Amoxicillin Trihydrate,125 mg/5 ml,Alco Pharma Ltd.
Sapox,Capsule,Amoxicillin Trihydrate,500 mg,Alco Pharma Ltd.
Sapotor,Suppository,Glycerin,1.15 gm,ACI Limited
Sanfix,Capsule,Cefixime Trihydrate,400 mg,Nuvista Pharma Ltd.
Sanfix,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Nuvista Pharma Ltd.
Sanfix,Capsule,Cefixime Trihydrate,200 mg,Nuvista Pharma Ltd.
Sandostatin LAR,Injection,Octreotide Acetate,20 mg/5 ml,Novartis (Bangladesh) Ltd.
Sandostatin,Injection,Octreotide Acetate,50 mcg/ml,Novartis (Bangladesh) Ltd.
Sandom,Pediatric Drops,Domperidone Maleate,5 mg/ml,Synovia pharma plc
Sandom,Oral Suspension,Domperidone Maleate,5 mg/5 ml,Synovia pharma plc
Sandom,Tablet,Domperidone Maleate,10 mg,Synovia pharma plc
Sandocal-D,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,SANDOZ (A Novartis Division)
Sandocal,Tablet,Calcium Carbonate,500 mg,SANDOZ (A Novartis Division)
Savlon,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,ACI Limited
Savlon,Cream,Chlorhexidine Hydrochloride + Cetrimide,0.1%+0.5%,ACI Limited
Savlon,Solution,Chlorhexidine Gluconate + Cetrimide,0.3%+3%,ACI Limited
Saver,Capsule,Cefixime Trihydrate,400 mg,Alco Pharma Ltd.
Saver,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Alco Pharma Ltd.
Saver,Capsule,Cefixime Trihydrate,200 mg,Alco Pharma Ltd.
Savedin,Mouthwash,Povidone Iodine,1% w/v,Gaco Pharmaceuticals Ltd.
Save Gurd,Ointment,Neomycin Sulfate + Bacitracin Zinc,(5 mg+500 IU)/gm,Ethical Drug Ltd.
Savatril,Tablet,Sacubitril + Valsartan,24 mg+26 mg,Drug International Ltd.
Saugella HydraSerum,Topical Solution,Salvia Officinalis,,Mylan Pharmaceutical industry company
Saugella Dermoliquido,Topical Solution,Salvia Officinalis,,Mylan Pharmaceutical industry company
Saugella Attiva,Topical Solution,Thymus Vulgaris Extracts,,Mylan Pharmaceutical industry company
Satrol,Tablet,Cetirizine Hydrochloride,10 mg,Marker Pharma Ltd.
Sastid,Medicated Bar,Precipitated Sulpher + Salicylic Acid,(100 mg+30 mg)/gm,Stiefel Laboratories Ltd.
Sasolin MR,Capsule (Modified Release),Tamsulosin  Hydrochloride,0.4 mg,ACI Limited
Sasolin D,Capsule,Tamsulosin Hydrochloride + Dutasteride,0.4 mg+0.5 mg,ACI Limited
SB-Ator,Tablet,Atorvastatin Calcium,10 mg,Sunman-Birdem Pharma Ltd.
SB-Amlod,Tablet,Amlodipine Besilate,5 mg,Sunman-Birdem Pharma Ltd.
SB-Amloator,Tablet,Amlodipine Besilate + Atorvastatin,5 mg+10 mg,Sunman-Birdem Pharma Ltd.
SB-Acelo,Tablet,Aceclofenac,100 mg,Sunman-Birdem Pharma Ltd.
Sartra,Tablet,Sertraline Hydrochloride,50 mg,Pacific Pharmaceuticals Ltd.
Sartec,Syrup,Cetirizine Hydrochloride,5 mg/5 ml,Rangs Pharmaceuticals Ltd.
Sartec,Tablet,Cetirizine Hydrochloride,10 mg,Rangs Pharmaceuticals Ltd.
Sarinex,Tablet,Desloratadine,5 mg,Delta Pharma Ltd.
Sardopa,Tablet,Methyldopa,500 mg,Incepta Pharmaceuticals Ltd.
Sardopa,Tablet,Methyldopa,250 mg,Incepta Pharmaceuticals Ltd.
Sardin,Oral Suspension,Fexofenadine Hydrochloride,30 mg/5 ml,Labaid Pharma Ltd.
Sardin,Tablet,Fexofenadine Hydrochloride,180 mg,Labaid Pharma Ltd.
Sardin,Tablet,Fexofenadine Hydrochloride,120 mg,Labaid Pharma Ltd.
Sarcet,Tablet,Cetirizine Hydrochloride,10 mg,The White Horse Pharma
SB-Losak,Tablet,Losartan Potassium,25 mg,Sunman-Birdem Pharma Ltd.
SB-Lina,Tablet,Linagliptin,5 mg,Sunman-Birdem Pharma Ltd.
SB-Ketor,Tablet,Ketorolac Tromethamine,10 mg,Sunman-Birdem Pharma Ltd.
SB-Iban,Tablet,Ibandronic Acid,150 mg,Sunman-Birdem Pharma Ltd.
SB-Glim,Tablet,Glimepiride,4 mg,Sunman-Birdem Pharma Ltd.
SB-Glim,Tablet,Glimepiride,3 mg,Sunman-Birdem Pharma Ltd.
SB-Glim,Tablet,Glimepiride,2 mg,Sunman-Birdem Pharma Ltd.
